raceId,driverId,lap,position,time,milliseconds,seconds,log_seconds,reciprocal_seconds
1038,842,39,1,1:24.083,84083,84.083,4.43180440623664,0.011893010477742232
849,16,41,11,1:58.987,118987,118.987,4.779014243446523,0.008404279459100574
202,35,19,5,1:21.439,81439,81.439,4.399854273748436,0.012279129164159679
92,17,23,7,1:34.602,94602,94.602,4.5496786174834,0.010570601044375382
144,58,49,13,1:36.064,96064,96.064,4.565014636010996,0.01040972684876749
340,13,40,11,1:48.837,108837,108.837,4.6898513501393575,0.009188051857364682
1003,822,9,4,1:47.307,107307,107.307,4.675693885160214,0.00931905653871602
63,27,23,16,1:19.941,79941,79.941,4.381288862586972,0.012509225553845961
50,9,54,9,1:32.457,92457,92.457,4.526743671570346,0.010815838714213094
170,23,13,3,1:56.270,116270,116.27,4.755915072680517,0.008600670852326481
143,35,32,11,1:20.536,80536,80.536,4.388704289427122,0.012416807390483758
109,17,23,10,1:40.079,100079,100.079,4.60595987410234,0.009992106236073503
953,20,12,4,1:39.864,99864,99.864,4.60380926034875,0.010013618521188816
168,57,34,1,1:48.458,108458,108.458,4.686363001265024,0.009220158955540394
1003,832,6,10,1:50.337,110337,110.337,4.70353931878516,0.009063142916700653
1110,844,42,3,1:51.419,111419,111.419,4.71329786950303,0.00897512991500552
856,811,25,14,1:44.131,104131,104.131,4.645649721876082,0.009603288165867993
196,25,29,4,1:24.415,84415,84.415,4.435745110929157,0.011846235858555943
928,826,7,15,1:46.779,106779,106.779,4.670761277978553,0.009365137339739088
972,807,2,10,2:32.907,152907,152.907,5.0298298934436465,0.006539922959707534
949,837,47,17,1:36.685,96685,96.685,4.571458271502555,0.010342866008170864
183,44,45,12,1:15.913,75913,75.913,4.329587947732548,0.013172974325873039
16,2,7,10,1:16.813,76813,76.813,4.341373896662269,0.013018629659042089
18,2,13,5,1:29.375,89375,89.375,4.492841001014172,0.011188811188811189
134,63,23,9,1:18.129,78129,78.129,4.35836130674589,0.012799344673552713
14,18,16,10,1:50.078,110078,110.078,4.701189205415331,0.009084467377677647
1052,846,4,5,1:49.988,109988,109.988,4.7003712689324795,0.009091900934647417
847,22,3,16,2:04.846,124846,124.846,4.827080977766405,0.008009868157570127
980,13,22,11,1:51.862,111862,111.862,4.717265968725828,0.00893958627594715
856,3,33,11,1:42.696,102696,102.696,4.631773167782625,0.009737477603801512
897,4,47,7,1:44.660,104660,104.66,4.650717000944062,0.009554748710108925
181,30,50,1,1:32.715,92715,92.715,4.529530271779346,0.010785741250067411
150,54,35,12,1:18.897,78897,78.897,4.368143204315255,0.012674753159182223
848,39,8,24,1:51.417,111417,111.417,4.713279919082093,0.008975291023811447
1,10,26,12,1:32.187,92187,92.187,4.523819122790617,0.01084751646110623
1085,20,11,11,1:40.883,100883,100.883,4.613961429517424,0.009912472864605533
906,13,40,4,1:19.845,79845,79.845,4.38008725529283,0.012524265764919532
135,63,59,9,1:19.140,79140,79.14,4.371218435957278,0.012635835228708618
338,1,27,3,1:31.077,91077,91.077,4.511705302576652,0.010979720456317182
216,55,37,7,1:47.390,107390,107.39,4.676467067870125,0.009311853990129435
1014,815,26,16,1:22.979,82979,82.979,4.418587563735457,0.012051241880475783
883,815,21,12,1:56.585,116585,116.585,4.758620620700956,0.008577432774370631
1086,852,24,15,1:25.330,85330,85.33,4.446526092548494,0.011719207781553968
1031,844,55,6,1:41.270,101270,101.27,4.617790217344194,0.009874592673052237
994,828,51,14,1:19.114,79114,79.114,4.370889850262965,0.012639987865611648
1109,852,47,16,1:24.067,84067,84.067,4.431614099961906,0.011895274007636767
1101,1,24,6,1:46.628,106628,106.628,4.669346141406655,0.00937839966988033
1091,830,45,12,1:50.049,110049,110.049,4.700925721152449,0.009086861307235867
354,20,58,1,1:14.503,74503,74.503,4.310839393031137,0.013422278297518221
959,154,10,12,1:22.454,82454,82.454,4.412240562079891,0.012127974385718098
1071,822,70,3,1:13.371,73371,73.371,4.295528762181883,0.013629363099862344
149,18,2,18,1:23.285,83285,83.285,4.422268460929071,0.012006964039142703
195,64,10,21,1:28.562,88562,88.562,4.483702871704546,0.011291524581649014
931,832,64,10,1:45.145,105145,105.145,4.655340349900667,0.009510675733510866
1014,847,53,17,1:24.445,84445,84.445,4.436100434869885,0.011842027355083192
952,837,25,19,1:38.242,98242,98.242,4.587433822497794,0.010178945868365872
16,5,65,9,1:14.660,74660,74.66,4.3129444734864375,0.01339405304045004
34,10,35,9,1:38.814,98814,98.814,4.593239295120126,0.010120023478454471
855,811,39,17,1:39.312,99312,99.312,4.598266409671297,0.010069276623167391
914,154,16,13,1:56.506,116506,116.506,4.757942773825488,0.008583248931385509
238,84,43,11,1:26.732,86732,86.732,4.462822904501971,0.011529769865793479
912,18,20,6,1:30.410,90410,90.41,4.504354880749275,0.011060723371308484
954,828,35,16,1:19.286,79286,79.286,4.3730615682882314,0.012612567161920137
1072,844,15,7,3:33.042,213042,213.042,5.361489329369984,0.004693910121009003
132,23,43,5,1:34.685,94685,94.685,4.550555592714868,0.010561334952738026
848,18,1,7,1:55.351,115351,115.351,4.747979653849631,0.008669192291354214
1054,20,37,13,1:23.080,83080,83.08,4.419803999007912,0.01203659123736158
872,3,46,11,1:28.761,88761,88.761,4.4859473643371155,0.01126620925857077
187,55,31,9,1:27.087,87087,87.087,4.466907618987667,0.011482770103459758
42,17,10,8,1:15.716,75716,75.716,4.326989498743973,0.013207248137778014
346,4,24,5,1:36.090,96090,96.09,4.5652852522891765,0.010406910188365074
212,22,1,16,1:38.813,98813,98.813,4.59322917504544,0.010120125894366125
875,811,23,14,1:46.768,106768,106.768,4.670658256161251,0.009366102202907237
1107,847,45,8,1:09.726,69726,69.726,4.244573275468792,0.014341852393655164
968,830,54,4,1:46.088,106088,106.088,4.664268938375298,0.009426136792097127
852,816,19,18,1:58.284,118284,118.284,4.773088512471302,0.008454228805248385
1076,840,26,13,2:26.174,146174,146.174,4.984797692923232,0.006841161902937595
177,56,20,3,1:30.299,90299,90.299,4.5031263861644995,0.011074319759908746
1070,832,40,4,1:21.887,81887,81.887,4.405340248101329,0.012211950614871714
1034,846,51,5,1:30.379,90379,90.379,4.504011939527145,0.011064517199791986
184,21,1,9,1:59.614,119614,119.614,4.7842698915221,0.00836022539167656
95,43,49,5,1:20.473,80473,80.473,4.387921724437399,0.01242652815229953
1110,842,22,6,1:57.187,117187,117.187,4.763770949488961,0.008533369742377568
896,3,27,8,1:34.075,94075,94.075,4.544092336479501,0.010629816635663035
1017,826,44,15,1:36.344,96344,96.344,4.567925119958178,0.010379473553101388
956,1,66,2,1:08.524,68524,68.524,4.227184048868212,0.01459342712042496
